Posted Date,Reference Number,Payee,Address,Amount
10/23/2012,24692162296000155540721,"NETFLIX.COM           ","NETFLIX.COM   CA ",    -12.74
10/24/2012,24692162298000520571607,"AMAZON.COM            ","AMZN.COM/BILL WA ",    -28.68
10/25/2012,24224432299105006685079,"PIZZA PORT            ","CARLSBAD      CA ",    -19.50
10/26/2012,30083204320102600051512,"PAYMENT - THANK YOU   ","                 ",   1826.34
10/26/2012,24692162300000087864417,"AMAZON SERVICES-KINDLE","866-321-8851  WA ",     -7.29
10/29/2012,24492152301849985908235,"PAYPAL *FENTYFITRIA   ","402-935-7733  CA ",    -22.87
10/29/2012,24231682303006000127925,"GULF OIL 92037596     ","NASHUA        NH ",    -30.04
10/29/2012,24323002302602081168225,"DESTROY ALL SOFTWARE L","415-322-0255  WA ",     -9.00
10/31/2012,24427332304720019044930,"STAR MARKET #7568     ","AUBURNDALE    MA ",    -23.73
10/31/2012,24224432305102004232675,"LAMBERT'S RAINBOW     ","WESTWOOD      MA ",     -7.85
11/01/2012,24707522305980018875306,"AUBURN CLEANERS & TAIL","AUBURNDALE    MA ",    -22.00
11/01/2012,24692162305000660982565,"AMAZON MKTPLACE PMTS  ","AMZN.COM/BILL WA ",     -4.55
11/01/2012,24323002305602082366577,"GETCLOAK.COM          ","434-535-2487  WA ",     -8.00
11/01/2012,24692162305000647449563,"AMAZON MKTPLACE PMTS  ","AMZN.COM/BILL WA ",    -31.99
11/02/2012,24765012307207118711507,"LINODE.COM            ","609-593-7103  NJ ",    -19.95
11/02/2012,24559302306900011666218,"WWW.RDIOCHARGE.COM    ","877-7346843   CA ",    -17.99
11/02/2012,24445002307000178048657,"WHOLEFDS NTV 10092    ","NEWTONVILLE   MA ",    -11.67
11/02/2012,74244692306243592910360,"FOREIGN TRANSACTION FE","         FTF     ",     -0.28
11/02/2012,24692162306000027419870,"AMAZON MKTPLACE PMTS  ","AMZN.COM/BILL WA ",     -8.75
11/02/2012,24224432307102004631163,"MARTY'S               ","NEWTON        MA ",    -14.79
11/02/2012,74244692306243592910360,"WEBFACTION            ","44845862031      ",     -9.50
11/02/2012,24692162307000102526275,"AMAZON.COM            ","AMZN.COM/BILL WA ",    -38.94
11/03/2012,24692162307000218961713,"99 SUMMER STREET   Q96","BOSTON        MA ",    -36.00
11/03/2012,24224432308104006183804,"GORDON S FINE WINE    ","WALTHAM       MA ",    -43.06
11/03/2012,24610432308072012492844,"DUNKIN #308234     Q35","WESTWOOD      MA ",     -4.35
11/05/2012,24040682309900017200011,"RAILSCASTS            ","541-2264551   OR ",     -9.00
11/05/2012,24164052309378006220298,"EXXONMOBIL    97448484","WALTHAM       MA ",    -55.29
11/05/2012,24224432310101016029502,"LULL FARM             ","HOLLIS        NH ",    -24.79
11/05/2012,24427332308060000333760,"HANNAFORD #8017       ","WALTHAM       MA ",   -161.04
11/05/2012,24427332308060000332010,"HANNAFORD #8017       ","WALTHAM       MA ",    -30.52
11/05/2012,24692162310000110595952,"AMAZON MKTPLACE PMTS  ","AMZN.COM/BILL WA ",    -18.70
11/07/2012,24632692311311343605908,"AEGAN PIZZA           ","CHEPACHET     RI ",     -5.67
11/07/2012,24692162311000575297325,"GOOGLE *CRASHPLAN     ","GOOGLE.COM/CH CA ",     -5.00
11/08/2012,24610432312072013834238,"DUNKIN #338022     Q35","CHEPACHET     RI ",     -4.52
11/08/2012,24224432313102003578128,"GORDON S LIQUORS I    ","WALTHAM       MA ",    -10.69
11/08/2012,24323002312602085248617,"HTTP//GITHUB.COM/C    ","415-735-4488  CA ",     -7.00
11/09/2012,24427332313710043569704,"MCDONALD'S F7076      ","NORWOOD       MA ",     -5.32
11/09/2012,24492152313052000015559,"GEICO                 ","800-841-3000  DC ",    -94.40
11/09/2012,24427332313720035534525,"MCDONALD'S F25119     ","NEWTON        MA ",     -6.51
